Gender,City,CGPA,Programming_Skill,Communication_Skill,Aptitude_Score,Internships,Projects,Backlogs,Attendance_Percent,Certifications,Study_Hours_Per_Week,Placed,Salary_LPA
Female,Delhi,6.23,6,7,2,1,2,2,84,1,24,1,8.37
Male,Mumbai,8.4,2,3,4,1,4,0,99,3,26,1,7.45
Female,Hyderabad,6.54,1,10,2,1,3,0,71,0,13,1,8.98
Male,Pune,6.15,7,2,4,2,2,0,86,3,22,1,4.57
Female,Bengaluru,7.74,2,7,10,1,3,1,100,5,26,1,8.91
Female,Pune,8.39,2,9,7,2,3,0,61,1,21,1,9.29
Male,Pune,7.92,5,1,9,1,1,2,93,4,18,1,9.41
Male,Bengaluru,8.2,5,4,8,1,1,0,68,5,27,1,9.98
Male,Pune,6.44,7,6,9,1,5,1,69,3,29,1,7.92
Male,Hyderabad,5.78,1,7,8,1,2,1,98,0,19,1,8.3
Male,Mumbai,8.7,8,10,2,1,4,2,66,3,24,1,8.7
Male,Bengaluru,6.88,3,7,7,1,4,2,62,0,15,1,7.27
Male,Delhi,6.95,4,10,2,0,2,0,70,2,28,1,7.17
Male,Pune,8.53,9,2,2,0,2,0,95,4,12,1,9.26
Female,Bengaluru,7.76,4,4,4,1,3,1,88,3,25,1,10.03
Female,Chennai,7.66,10,5,1,1,4,0,100,1,11,1,11.44
Male,Chennai,9.37,5,1,5,3,1,0,78,0,27,1,9.05
Female,Mumbai,6.56,7,1,6,0,2,1,83,3,23,1,7.86
Female,Hyderabad,8.13,4,10,9,0,1,1,70,1,1,1,10.42
Female,Mumbai,7.26,1,3,10,0,6,1,59,3,16,0,0.0
Female,Mumbai,7.47,9,10,8,3,2,0,59,3,28,1,9.23
Male,Mumbai,8.73,4,3,2,2,2,0,84,2,28,1,7.71
Female,Mumbai,7.71,9,8,1,0,1,0,59,0,13,1,11.0
Male,Delhi,7.74,6,9,2,1,4,1,97,4,29,1,9.04
Female,Delhi,8.27,1,1,7,2,2,0,67,1,6,1,8.51
Female,Bengaluru,6.84,3,2,4,0,3,0,89,6,23,1,8.9
Female,Chennai,6.36,2,10,10,1,1,0,79,4,28,1,7.99
Male,Mumbai,6.16,9,2,5,0,4,1,68,1,6,1,10.51
Female,Bengaluru,5.23,1,4,7,3,4,2,98,2,10,0,0.0
Male,Chennai,9.26,9,2,3,2,0,1,100,3,27,1,9.15
Female,Pune,6.1,9,7,10,2,6,1,80,3,29,1,8.82
Male,Hyderabad,6.98,8,9,2,1,3,1,72,1,2,1,8.2
Female,Delhi,6.92,8,7,7,1,2,1,74,3,29,1,11.15
Male,Pune,7.51,1,6,5,3,3,1,88,1,25,1,7.38
Male,Chennai,8.02,8,10,1,1,0,1,61,4,3,1,9.12
Female,Pune,8.06,10,1,1,0,2,0,64,3,6,1,9.96
Male,Hyderabad,6.62,3,10,9,1,2,2,69,2,16,1,8.78
Female,Chennai,7.03,7,9,5,1,1,2,71,0,6,1,9.61
Female,Pune,7.48,1,5,1,1,3,0,65,1,24,1,9.2
Female,Delhi,6.95,1,5,7,3,2,0,88,3,13,1,8.88
Female,Delhi,8.81,10,6,9,0,2,1,81,2,4,1,9.26
Female,Bengaluru,7.69,5,9,1,1,2,1,75,1,15,1,8.14
Female,Pune,7.93,5,8,10,1,3,0,85,1,6,1,8.92
Female,Mumbai,7.86,8,8,4,0,3,1,58,0,1,1,8.55
Female,Pune,8.37,7,8,3,2,3,1,95,1,9,1,8.48
Female,Chennai,7.38,8,1,5,0,1,0,71,2,12,1,8.54
Female,Chennai,5.9,6,1,7,0,2,0,74,0,25,0,0.0
Female,Pune,7.6,6,8,8,2,3,0,79,2,23,1,10.73
Male,Hyderabad,6.55,2,5,2,0,0,2,94,2,11,0,0.0
Male,Delhi,6.67,6,9,7,2,3,1,77,0,13,1,6.07
Female,Chennai,7.79,5,2,1,1,1,1,69,4,1,1,8.12
Female,Delhi,8.44,3,9,7,2,1,1,87,1,19,1,9.87
Female,Chennai,7.22,6,8,8,1,0,0,73,2,28,1,6.87
Female,Bengaluru,7.51,8,9,2,1,2,0,69,3,21,1,9.81
Female,Mumbai,8.9,9,4,9,2,3,0,95,3,4,1,10.34
Female,Chennai,7.44,1,1,1,1,2,0,59,0,5,1,8.24
Female,Delhi,9.8,3,1,6,0,4,0,70,3,23,1,9.24
Female,Bengaluru,7.77,3,5,1,1,1,0,99,2,25,1,7.49
Male,Chennai,5.44,8,2,3,1,2,1,86,1,17,1,9.2
Female,Hyderabad,7.95,1,8,6,1,1,1,76,1,5,1,8.77
Male,Mumbai,7.58,5,10,3,1,2,2,97,1,19,1,8.18
Female,Chennai,8.49,3,5,8,1,4,1,86,1,3,1,7.89
Female,Bengaluru,7.87,2,5,5,1,0,1,67,0,11,1,7.06
Male,Hyderabad,7.06,8,2,2,1,3,0,92,3,2,1,9.38
Female,Pune,5.98,3,7,4,0,1,0,80,3,22,1,7.71
Male,Bengaluru,6.99,7,8,9,0,2,0,71,2,14,1,8.56
Female,Bengaluru,6.35,1,10,4,1,1,0,59,3,6,1,5.97
Female,Hyderabad,6.62,6,1,10,0,2,1,87,0,19,1,7.22
Male,Bengaluru,7.79,3,2,10,0,3,0,81,3,1,1,7.14
Female,Hyderabad,8.87,8,10,8,0,3,0,59,2,7,1,10.49
Male,Chennai,7.59,6,4,5,1,1,0,91,1,2,1,9.08
Female,Hyderabad,6.0,2,5,10,0,1,0,61,1,24,1,7.5
Male,Hyderabad,7.64,6,2,1,1,3,1,72,3,19,1,10.22
Male,Mumbai,8.4,7,1,7,2,5,1,85,3,1,1,10.44
Female,Hyderabad,6.59,5,9,3,1,1,0,60,3,26,1,9.73
Female,Hyderabad,7.07,3,1,10,1,3,1,56,2,9,1,8.04
Male,Pune,7.21,4,4,8,0,1,0,67,0,21,1,6.81
Female,Chennai,6.42,4,2,3,4,1,1,96,1,17,0,0.0
Female,Mumbai,7.85,6,4,1,0,2,0,65,0,10,1,9.6
Female,Pune,7.08,10,8,5,0,0,1,80,3,27,1,9.83
Male,Delhi,7.62,1,8,2,1,2,0,75,5,6,1,9.1
Male,Chennai,6.31,4,9,4,2,2,0,56,2,26,1,11.5
Male,Chennai,6.76,10,5,1,2,1,0,94,1,3,1,8.95
Male,Delhi,7.92,4,7,9,1,4,0,74,2,27,1,10.48
Male,Hyderabad,6.83,10,3,6,1,5,1,71,2,20,1,8.07
Male,Pune,8.93,1,10,8,2,2,1,70,4,24,1,9.72
Male,Bengaluru,6.8,9,4,4,2,1,0,96,1,15,1,11.1
Male,Mumbai,7.42,4,10,9,2,2,1,59,4,21,1,8.52
Male,Bengaluru,8.13,7,9,2,0,3,3,68,2,28,1,6.88
Female,Delhi,5.78,3,10,9,1,0,0,78,2,22,1,8.56
Male,Chennai,5.44,10,10,5,1,1,2,58,0,26,1,8.34
Female,Chennai,5.67,3,1,6,2,5,0,78,2,20,0,0.0
Female,Mumbai,8.46,8,2,3,1,3,1,63,6,6,1,8.86
Female,Chennai,6.65,8,5,4,1,0,0,57,1,3,1,11.65
Male,Chennai,9.76,1,3,6,2,4,1,63,2,10,1,9.16
Male,Mumbai,6.64,10,2,7,0,2,0,72,2,12,1,9.97
Male,Pune,7.38,2,1,1,1,2,0,90,1,1,0,0.0
Male,Pune,8.74,8,10,7,3,1,1,73,1,22,1,8.11
Female,Mumbai,9.21,1,3,1,0,4,1,78,2,30,1,7.29
Male,Delhi,9.26,8,1,5,2,1,0,58,1,29,1,8.15
Male,Chennai,8.41,8,1,6,1,1,2,63,5,16,1,10.22
Male,Chennai,8.22,2,1,2,3,3,1,87,1,17,0,0.0
Male,Delhi,7.79,4,8,10,0,2,0,55,0,10,1,7.18
Male,Pune,7.98,6,3,9,2,2,0,89,4,12,1,8.18
Female,Hyderabad,6.65,9,1,10,0,1,0,64,2,19,1,9.75
Male,Hyderabad,6.38,8,7,6,1,2,3,66,3,28,1,9.51
Female,Hyderabad,7.2,8,10,7,1,2,0,72,2,8,1,10.18
Male,Pune,7.03,7,3,10,2,1,2,68,1,23,1,8.46
Female,Pune,6.75,9,8,8,2,2,2,64,2,8,1,11.34
Male,Delhi,7.9,2,4,10,1,1,3,64,2,10,1,9.8
Male,Chennai,8.16,3,4,1,0,3,1,72,0,10,1,7.31
Female,Delhi,7.29,10,5,8,0,0,0,78,0,18,1,10.23
Female,Delhi,8.68,8,6,4,0,1,1,55,7,10,1,9.52
Female,Pune,6.06,6,7,10,2,2,0,84,2,7,1,8.14
Male,Hyderabad,7.01,10,4,8,1,3,0,69,3,30,1,9.17
Female,Bengaluru,6.48,9,8,6,1,3,1,62,1,4,1,8.05
Male,Chennai,5.33,10,6,9,0,0,0,89,2,1,1,9.78
Male,Pune,7.12,4,1,4,0,1,0,72,3,11,1,7.78
Female,Hyderabad,7.08,8,1,2,2,2,0,95,2,19,1,8.27
Female,Bengaluru,8.71,10,9,2,0,0,0,70,2,5,1,10.66
Male,Bengaluru,7.83,3,10,5,1,2,0,75,0,30,1,11.21
Male,Pune,6.18,3,6,10,3,3,1,69,2,26,1,7.43
Female,Mumbai,9.05,8,10,9,2,2,0,59,2,8,1,8.13
Female,Chennai,8.42,5,8,3,1,4,0,99,5,2,1,10.41
Female,Bengaluru,7.78,3,7,8,1,2,1,61,0,2,1,8.82
Male,Pune,6.97,10,6,4,3,2,2,61,2,24,1,9.74
Male,Pune,6.24,1,4,6,3,0,0,81,5,14,1,7.85
Male,Hyderabad,6.83,3,7,10,0,0,1,79,4,9,1,8.96
Male,Mumbai,8.29,9,9,6,1,2,0,76,4,10,1,9.92
Male,Chennai,9.08,5,10,3,1,1,0,67,2,13,1,8.65
Male,Delhi,8.74,10,10,5,0,1,1,71,1,29,1,10.6
Female,Hyderabad,6.71,2,7,3,1,3,0,95,0,1,1,8.69
Male,Bengaluru,6.08,7,1,1,0,2,1,98,2,14,0,0.0
Male,Bengaluru,7.34,2,10,7,3,4,1,67,3,2,1,8.1
Male,Hyderabad,5.43,4,9,4,1,3,2,80,4,4,1,6.94
Female,Pune,7.52,7,4,7,0,2,0,63,4,28,1,9.53
Male,Bengaluru,7.05,4,3,3,0,1,0,59,2,19,1,9.01
Male,Mumbai,6.73,7,4,5,2,1,0,93,4,1,1,8.65
Female,Chennai,5.61,7,4,5,2,2,0,87,3,4,1,6.94
Male,Mumbai,7.71,1,10,2,0,5,2,58,0,11,1,5.89
Male,Bengaluru,6.67,6,2,10,3,4,1,82,2,13,1,8.28
Male,Delhi,6.03,9,1,2,1,1,1,80,1,27,1,8.97
Male,Chennai,4.5,2,10,4,0,0,0,58,3,18,1,8.09
Male,Chennai,7.17,3,1,4,1,0,0,70,4,10,1,9.73
Female,Hyderabad,8.97,10,8,4,1,5,0,91,2,5,1,9.41
Female,Hyderabad,8.86,5,2,6,2,4,2,76,3,1,1,7.3
Female,Delhi,6.74,9,10,2,1,2,0,90,3,14,1,8.32
Male,Pune,6.6,4,5,6,1,2,1,92,2,16,1,10.91
Male,Chennai,7.67,1,4,7,0,4,1,89,0,24,1,10.28
Male,Delhi,6.2,4,8,10,1,3,1,79,6,26,1,8.66
Female,Hyderabad,7.5,6,2,3,2,6,1,62,2,18,1,8.33
Male,Hyderabad,7.97,5,10,8,1,0,0,71,5,27,1,8.78
Male,Chennai,8.43,1,9,2,3,3,0,72,2,3,1,10.63
Female,Mumbai,7.1,4,7,8,1,1,4,66,4,3,1,8.72
Male,Bengaluru,7.0,6,7,5,2,1,0,87,5,4,1,8.21
Female,Hyderabad,6.32,10,1,2,3,1,0,77,3,7,1,10.5
Female,Pune,6.37,10,2,7,1,5,0,66,2,13,1,6.59
Female,Pune,6.97,4,4,2,2,6,2,65,0,9,0,0.0
Male,Hyderabad,7.57,9,4,6,0,1,2,67,0,3,1,8.26
Male,Mumbai,8.11,5,3,10,1,2,0,89,1,17,1,10.14
Male,Mumbai,6.4,8,7,3,0,0,0,81,2,15,1,8.03
Male,Delhi,8.69,9,8,9,0,0,0,79,1,27,1,7.49
Male,Pune,6.93,10,2,3,1,4,1,94,3,10,1,8.29
Male,Delhi,7.18,5,4,3,1,2,0,57,3,15,1,8.05
Male,Pune,6.45,6,3,5,0,1,2,79,3,1,1,8.4
Female,Bengaluru,4.78,1,2,7,2,2,1,99,3,28,1,7.45
Male,Bengaluru,8.08,7,6,8,1,0,0,64,4,27,1,10.33
Female,Chennai,7.94,4,4,7,0,0,1,71,3,22,1,8.38
Male,Delhi,6.92,2,6,9,0,2,1,57,4,21,1,7.46
Male,Hyderabad,7.27,5,2,5,0,2,0,99,2,10,1,8.7
Male,Delhi,7.72,3,4,10,4,0,1,76,2,7,1,8.85
Female,Hyderabad,5.64,6,6,3,2,2,1,92,3,7,0,0.0
Female,Mumbai,6.67,8,5,6,2,1,2,68,1,3,1,6.75
Female,Delhi,7.99,7,3,5,1,3,2,81,2,7,1,8.55
Female,Mumbai,5.95,3,8,4,3,4,1,96,4,9,1,8.91
Male,Bengaluru,7.49,8,7,2,3,4,0,74,3,8,1,8.99
Female,Bengaluru,5.84,2,3,7,1,2,1,72,0,3,0,0.0
Male,Chennai,7.67,10,6,5,2,4,0,67,3,26,1,9.99
Male,Delhi,7.16,9,4,4,0,4,1,96,1,5,1,8.45
Female,Mumbai,5.58,4,5,8,3,2,0,60,6,13,1,9.7
Female,Hyderabad,8.36,1,5,9,0,2,0,64,6,13,1,7.5
Female,Bengaluru,6.47,8,7,9,2,0,1,91,1,30,1,6.71
Female,Bengaluru,6.39,7,5,3,1,4,1,83,5,8,1,8.99
Female,Hyderabad,7.4,5,3,3,0,3,0,60,2,18,1,7.75
Female,Mumbai,8.35,10,10,5,1,2,0,93,1,30,1,9.55
Female,Mumbai,6.18,5,5,5,3,3,1,65,3,30,1,6.98
Female,Delhi,7.26,7,7,10,1,3,4,79,4,7,1,8.89
Male,Delhi,7.63,5,5,2,0,2,1,98,1,27,1,9.35
Female,Pune,7.89,8,5,1,3,6,2,98,1,10,1,9.98
Female,Pune,7.38,6,9,8,0,1,1,84,0,10,1,7.44
Male,Chennai,6.83,5,3,3,0,2,2,74,1,23,0,0.0
Female,Bengaluru,6.37,9,6,1,2,2,0,91,2,11,1,9.29
Male,Delhi,7.29,2,1,1,1,2,2,70,3,12,1,7.84
Male,Mumbai,6.13,1,10,2,1,3,1,85,2,30,1,7.1
Female,Hyderabad,4.5,8,5,6,1,2,1,83,2,13,1,7.89
Male,Mumbai,7.64,3,8,6,1,3,0,60,2,8,1,8.33
Male,Bengaluru,8.1,7,5,3,3,1,0,83,5,17,1,9.62
Male,Pune,4.84,10,9,4,1,1,1,86,1,24,1,8.98
Male,Mumbai,6.19,8,6,2,2,0,2,63,1,14,1,9.81
Female,Chennai,7.82,6,8,2,0,6,0,91,3,17,1,8.65
Male,Bengaluru,9.26,10,10,7,2,2,2,77,2,19,1,11.14
Female,Pune,7.22,9,8,1,1,6,0,70,5,16,1,9.81
Male,Hyderabad,6.47,7,3,7,0,2,0,72,0,9,1,9.65
Male,Pune,7.02,10,7,1,1,1,1,73,5,20,1,7.83
Male,Chennai,8.57,5,7,6,2,1,0,98,2,10,1,8.98
Male,Bengaluru,6.55,8,10,3,1,0,1,56,2,29,1,11.03
Female,Hyderabad,6.4,2,6,8,1,2,2,64,1,9,1,6.33
Female,Chennai,6.72,7,7,6,1,2,1,66,3,1,1,10.84
Male,Pune,6.25,4,2,2,1,5,1,100,1,24,1,10.26
Male,Chennai,7.32,9,9,8,0,1,0,72,3,3,1,10.02
Female,Bengaluru,8.82,1,10,5,1,1,1,73,3,11,1,7.09
Male,Delhi,7.52,7,10,8,1,2,0,92,2,7,1,8.71
Male,Chennai,6.95,6,1,8,1,2,2,91,3,18,1,9.6
Male,Chennai,6.91,8,1,6,1,2,1,81,1,13,1,7.29
Female,Pune,5.64,5,3,2,1,0,0,68,1,23,1,8.89
Female,Pune,8.08,1,3,8,2,3,0,99,3,23,1,8.58
Female,Hyderabad,7.12,1,1,6,1,3,0,88,2,25,1,7.43
Male,Pune,7.02,9,7,6,1,3,0,56,3,18,1,7.69
Male,Mumbai,9.9,10,4,8,2,1,1,98,3,16,1,11.92
Female,Bengaluru,7.5,6,10,1,1,3,0,87,2,24,1,9.78
Female,Bengaluru,6.45,10,2,2,2,1,0,73,3,16,1,8.76
Female,Delhi,6.77,5,10,9,0,2,2,81,1,21,1,8.51
Female,Delhi,8.35,1,5,8,1,2,1,84,2,10,1,8.22
Male,Bengaluru,7.31,6,6,7,0,1,1,61,2,9,1,6.61
Female,Delhi,5.76,6,9,7,1,5,0,81,3,8,1,9.78
Male,Hyderabad,8.12,3,4,5,2,1,2,75,1,19,1,8.96
Female,Pune,6.53,8,2,2,0,2,1,61,3,3,1,9.89
Male,Bengaluru,9.07,1,5,6,1,1,1,79,6,27,1,8.25
Female,Delhi,8.28,1,3,10,2,4,0,92,0,28,1,8.63
Female,Bengaluru,6.75,6,2,3,1,2,1,72,3,26,1,8.97
Female,Mumbai,8.48,10,1,4,2,1,0,87,2,24,1,10.91
Female,Chennai,7.27,1,10,10,1,1,0,87,1,9,1,10.32
Male,Pune,8.05,6,2,2,1,1,1,86,3,2,1,8.62
Female,Bengaluru,7.68,1,6,2,1,3,1,79,1,19,1,7.89
Male,Chennai,6.35,6,8,8,0,1,0,68,0,30,1,8.15
Male,Delhi,6.56,3,3,8,0,1,0,92,1,30,1,7.44
Male,Chennai,8.23,8,9,10,0,3,0,92,6,8,1,12.52
Male,Pune,6.87,6,9,6,0,3,1,58,1,18,1,6.61
Female,Bengaluru,6.8,1,2,5,2,2,0,98,4,8,0,0.0
Male,Mumbai,6.24,5,8,8,0,0,0,72,4,5,1,9.05
Male,Delhi,7.62,8,10,4,2,1,2,64,1,6,1,9.03
Male,Bengaluru,9.26,3,5,4,0,2,1,89,2,30,1,8.1
Female,Pune,6.13,6,4,5,0,1,1,89,3,10,1,8.32
Female,Delhi,7.22,5,10,1,0,0,0,94,1,15,1,7.95
Female,Hyderabad,8.61,6,5,1,0,0,3,77,3,28,1,10.89
Female,Chennai,7.12,10,4,2,1,0,0,79,3,4,1,9.95
Male,Pune,7.65,1,8,8,1,2,0,55,5,3,1,10.3
Male,Hyderabad,6.14,7,4,7,3,0,1,72,3,24,1,8.14
Female,Bengaluru,7.63,9,10,10,1,0,1,69,4,9,1,9.42
Male,Mumbai,7.01,2,6,9,2,5,2,79,3,16,1,8.08
Male,Delhi,8.19,10,2,5,2,3,0,86,0,29,1,9.12
Male,Chennai,8.39,5,5,2,0,1,1,74,5,16,1,7.8
Female,Delhi,9.79,10,6,7,0,0,1,71,4,15,1,10.99
Female,Bengaluru,7.78,4,5,8,1,2,0,65,1,24,1,9.11
Male,Delhi,7.53,6,2,7,1,0,1,67,1,9,1,8.8
Female,Chennai,7.39,6,7,7,1,1,1,79,5,17,1,9.41
Female,Bengaluru,6.85,2,4,5,1,1,1,74,1,21,1,7.64
Female,Delhi,7.54,2,8,2,2,2,0,79,1,12,1,8.4
Female,Mumbai,6.9,4,7,6,0,2,0,96,4,23,1,9.43
Female,Pune,7.37,1,7,4,2,3,1,99,4,8,1,9.4
Male,Bengaluru,8.52,9,9,10,2,2,1,85,1,14,1,11.4
Female,Pune,6.19,7,1,2,0,2,2,55,2,27,0,0.0
Male,Bengaluru,8.34,7,10,9,1,2,0,70,1,18,1,8.1
Male,Mumbai,8.52,3,6,7,1,0,0,82,2,12,1,7.46
Female,Pune,7.08,3,6,6,1,2,0,75,2,27,1,7.56
Male,Hyderabad,5.08,1,6,5,1,0,0,84,2,14,1,7.0
Male,Chennai,6.59,3,6,3,0,0,1,57,0,20,1,8.69
Male,Hyderabad,8.5,3,10,10,0,4,2,88,5,23,1,10.23
Female,Delhi,7.18,4,7,10,0,2,1,60,0,5,1,8.02
Female,Mumbai,6.2,4,10,4,0,3,1,97,3,1,1,8.84
Male,Hyderabad,6.7,3,6,3,0,4,2,83,0,13,1,9.74
Female,Bengaluru,8.04,10,1,8,1,4,1,57,1,14,1,8.97
Female,Delhi,7.75,8,3,3,1,1,0,87,0,2,1,8.83
Female,Delhi,6.96,8,2,7,1,3,1,65,2,16,1,8.98
Female,Hyderabad,6.83,1,6,7,0,1,1,99,1,5,0,0.0
Male,Hyderabad,6.81,7,8,7,1,3,1,59,0,22,1,9.34
Male,Mumbai,6.28,2,3,7,3,1,1,86,1,1,0,0.0
Female,Chennai,8.82,1,10,2,1,2,0,72,2,12,1,9.65
Female,Hyderabad,6.88,3,8,10,1,3,0,74,3,19,1,7.75
Male,Hyderabad,8.42,4,8,3,0,1,0,93,4,22,1,8.31
Male,Pune,8.72,6,5,10,1,4,0,94,4,22,1,8.1
Female,Bengaluru,8.2,10,8,9,1,2,0,82,1,23,1,10.22
Male,Pune,6.77,5,6,3,1,0,0,67,4,10,1,9.11
Female,Pune,7.6,4,5,2,1,1,1,80,3,12,0,0.0
Female,Delhi,7.18,8,9,9,1,0,1,70,1,30,1,11.13
Male,Chennai,6.3,4,7,10,2,1,0,79,0,30,1,8.23
Male,Bengaluru,7.52,10,8,9,2,4,0,64,1,19,1,9.32
Female,Mumbai,6.02,2,1,4,1,2,1,83,0,16,0,0.0
Female,Mumbai,8.39,3,2,9,2,2,1,100,2,17,1,7.98
Male,Hyderabad,6.74,6,8,3,0,1,0,92,2,13,1,7.39
Female,Hyderabad,7.4,8,9,7,1,1,1,74,2,7,1,8.6
Male,Mumbai,7.48,8,4,7,1,4,0,80,3,28,1,9.84
Female,Hyderabad,6.94,9,10,8,2,4,2,86,2,27,1,6.79
Male,Chennai,7.79,7,10,10,2,1,1,93,1,3,1,7.27
Male,Pune,6.73,2,9,4,0,4,1,92,4,5,1,7.37
Male,Hyderabad,8.07,8,4,3,0,0,1,78,3,4,1,7.13
Female,Delhi,5.85,7,10,3,0,2,0,85,0,28,1,6.69
Female,Hyderabad,7.33,8,10,5,1,0,1,94,3,15,1,10.0
Male,Bengaluru,9.14,3,10,1,0,2,1,66,3,17,1,8.53
Female,Chennai,6.2,7,9,10,1,1,1,90,1,12,1,7.49
Male,Bengaluru,6.52,10,7,3,1,3,1,64,2,23,1,9.15
Male,Bengaluru,7.71,9,2,6,0,3,1,60,3,14,1,9.42
Female,Delhi,7.38,3,9,3,1,0,3,61,5,29,0,0.0
Female,Chennai,7.55,10,4,5,3,2,0,85,2,4,1,7.21
Male,Chennai,7.69,6,8,9,3,0,1,81,3,17,1,7.8
Female,Chennai,7.83,2,7,2,0,2,0,62,1,11,1,7.76
Female,Chennai,8.31,2,7,2,0,1,1,57,4,6,1,9.12
Male,Chennai,7.61,5,8,6,1,3,0,94,3,4,1,12.23
Male,Delhi,6.96,5,1,6,1,2,1,75,3,13,1,9.24
Female,Hyderabad,7.87,7,5,8,1,1,0,55,1,20,1,8.78
Male,Bengaluru,9.1,2,2,2,1,2,0,99,3,15,1,7.47
Male,Chennai,7.07,7,2,9,1,3,3,69,4,18,1,7.21
Female,Hyderabad,6.23,5,1,2,3,3,3,61,2,17,1,9.36
Male,Hyderabad,8.31,6,5,1,1,0,0,69,1,19,1,8.17
Male,Bengaluru,7.08,8,2,10,1,1,0,79,1,10,1,8.51
Female,Delhi,5.03,10,4,2,3,4,0,57,1,5,1,10.45
Female,Mumbai,8.05,4,3,7,0,3,0,84,0,12,1,6.74
Male,Mumbai,6.66,7,3,8,0,1,3,68,0,25,1,9.0
Male,Hyderabad,7.11,6,2,5,1,0,0,58,1,30,1,7.62
Female,Pune,7.53,10,6,6,0,4,0,90,1,15,1,11.3
Female,Pune,7.39,2,2,1,1,1,0,57,4,23,0,0.0
Female,Bengaluru,7.91,8,8,6,0,3,0,59,5,4,1,10.03
Female,Mumbai,6.76,10,8,8,0,1,1,79,4,8,1,6.9
Male,Hyderabad,7.71,9,5,3,0,2,1,85,2,28,1,11.14
Female,Delhi,6.94,5,10,1,3,4,1,65,3,20,1,9.63
